date,year,month,day,time,hour,minute,direction,type,file_idx,vehicle_count,occupancy,is_public_vehicle,total_electric,is_electric
2022-10-25,2022,10,25,10:55,10,55,In,Motorbike,86,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:55,10,55,In,Scooter,91,1,1.0,0.0,1.0,1
2022-10-25,2022,10,25,10:55,10,55,In,Taxi,91,3,2.0,3.0,0.0,0
2022-10-25,2022,10,25,10:55,10,55,In,Van,91,8,1.125,8.0,0.0,0
2022-10-25,2022,10,25,10:55,10,55,Out,Bus,82,1,40.0,0.0,0.0,0
2022-10-25,2022,10,25,10:55,10,55,Out,Car,96,15,0.36666666666666664,0.0,0.0,0
2022-10-25,2022,10,25,10:55,10,55,Out,Lorry,95,1,1.0,0.0,1.0,1
2022-10-25,2022,10,25,10:55,10,55,Out,Taxi,96,3,0.25,0.0,0.0,0
2022-10-25,2022,10,25,10:55,10,55,Out,Van,96,1,0.5,0.0,0.0,0
2022-10-25,2022,10,25,11:00,11,00,In,Bicycle,91,3,1.0,0.0,0.0,0
2022-10-25,2022,10,25,11:00,11,00,In,Bus,91,3,77.33333333333333,3.0,0.0,0
2022-10-25,2022,10,25,11:00,11,00,In,Car,91,27,1.8148148148148149,0.0,0.0,0
2022-10-25,2022,10,25,11:00,11,00,In,Lorry,86,2,2.0,0.0,0.0,0
2022-10-25,2022,10,25,11:00,11,00,In,Scooter,86,2,1.0,0.0,2.0,1
2022-10-25,2022,10,25,11:00,11,00,In,Taxi,91,3,1.0,3.0,0.0,0
2022-10-25,2022,10,25,11:00,11,00,In,Van,86,5,1.8,0.0,0.0,0
2022-10-25,2022,10,25,11:00,11,00,Out,Bus,116,3,34.13333333333333,0.0,0.0,0
2022-10-25,2022,10,25,11:00,11,00,Out,Car,96,12,0.3333333333333333,0.0,0.0,0
2022-10-25,2022,10,25,11:00,11,00,Out,Taxi,82,2,1.0,0.0,0.0,0
2022-10-25,2022,10,25,11:00,11,00,Out,Van,96,5,0.43333333339999996,0.0,1.0,1
2022-10-25,2022,10,25,11:05,11,05,In,Bicycle,91,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,11:05,11,05,In,Bus,101,2,68.0,0.0,0.0,0
2022-10-25,2022,10,25,11:05,11,05,In,Car,91,18,1.5,0.0,1.0,1
2022-10-25,2022,10,25,11:05,11,05,In,Motorbike,91,1,1.0,0.0,0.0,0
